round, size, pvdup, meanpv, rpsneigh, sonneig, completeness, messages
363, 200, 0, 5.0, 5, 5, 97, 990
364, 200, 0, 5.0, 5, 5, 98, 1000
365, 200, 0, 5.0, 5, 5, 98, 1000
366, 200, 0, 5.0, 5, 5, 98, 1000
367, 200, 0, 5.0, 5, 5, 98, 1000
368, 200, 0, 5.0, 5, 5, 98, 1000
369, 200, 0, 5.0, 5, 5, 98, 1000
370, 200, 0, 5.0, 5, 5, 98, 1000
371, 200, 0, 5.0, 5, 5, 98, 1000
372, 200, 0, 5.0, 5, 5, 98, 1010
373, 200, 0, 5.0, 5, 5, 97, 990
374, 200, 0, 5.0, 5, 5, 98, 1000
375, 200, 0, 5.0, 5, 5, 98, 1010
376, 200, 0, 5.0, 5, 5, 97, 990
377, 200, 0, 5.0, 5, 5, 98, 1000
378, 200, 0, 5.0, 5, 5, 98, 1000
379, 200, 0, 5.0, 5, 5, 98, 1000
380, 200, 0, 5.0, 5, 5, 98, 1000
381, 200, 0, 5.0, 5, 5, 98, 1000
382, 200, 0, 5.0, 5, 5, 98, 1000
383, 200, 0, 5.0, 5, 5, 98, 1000
384, 200, 0, 5.0, 5, 5, 98, 1000
385, 200, 0, 5.0, 5, 5, 98, 1000
386, 200, 0, 5.0, 5, 5, 98, 1000
387, 200, 0, 5.0, 5, 5, 98, 1000
388, 200, 0, 5.0, 5, 5, 98, 1000
389, 200, 0, 5.0, 5, 5, 98, 1010
390, 200, 0, 5.0, 5, 5, 97, 990
391, 200, 0, 5.0, 5, 5, 98, 1000
392, 200, 0, 5.0, 5, 5, 98, 1000
393, 200, 0, 5.0, 5, 5, 98, 1000
394, 200, 0, 5.0, 5, 5, 98, 1000
395, 200, 0, 5.0, 5, 5, 98, 1000
396, 200, 0, 5.0, 5, 5, 98, 1000
397, 200, 0, 5.0, 5, 5, 98, 1000
398, 200, 0, 5.0, 5, 5, 98, 1000
399, 200, 0, 5.0, 5, 5, 98, 1000
400, 200, 0, 5.0, 5, 5, 98, 1000
401, 200, 0, 5.0, 5, 5, 98, 1000
402, 200, 0, 5.0, 5, 5, 98, 1000
403, 200, 0, 5.0, 5, 5, 98, 1010
404, 200, 0, 5.0, 5, 5, 97, 990
405, 200, 0, 5.0, 5, 5, 98, 1000
406, 200, 0, 5.0, 5, 5, 98, 1000
407, 200, 0, 5.0, 5, 5, 98, 1000
408, 200, 0, 5.0, 5, 5, 98, 1010
409, 200, 0, 5.0, 5, 5, 97, 990
410, 200, 0, 5.0, 5, 5, 98, 1000
411, 200, 0, 5.0, 5, 5, 98, 1000
412, 200, 0, 5.0, 5, 5, 98, 1000
413, 200, 0, 5.0, 5, 5, 98, 1000
414, 200, 0, 5.0, 5, 5, 98, 1010
415, 200, 0, 5.0, 5, 5, 97, 990
416, 200, 0, 5.0, 5, 5, 98, 1000
417, 200, 0, 5.0, 5, 5, 98, 1000
418, 200, 0, 5.0, 5, 5, 98, 1000
419, 200, 0, 5.0, 5, 5, 98, 1000
420, 200, 0, 5.0, 5, 5, 98, 1000
421, 200, 0, 5.0, 5, 5, 98, 1000
422, 200, 0, 5.0, 5, 5, 98, 1000
423, 200, 0, 5.0, 5, 5, 98, 1000
424, 200, 0, 5.0, 5, 5, 98, 1010
425, 200, 0, 5.0, 5, 5, 97, 990
426, 200, 0, 5.0, 5, 5, 98, 1000
427, 200, 0, 5.0, 5, 5, 98, 1000
428, 200, 0, 5.0, 5, 5, 98, 1000
429, 200, 0, 5.0, 5, 5, 98, 1000
430, 200, 0, 5.0, 5, 5, 98, 1000
431, 200, 0, 5.0, 5, 5, 98, 1000
432, 200, 0, 5.0, 5, 5, 98, 1010
433, 200, 0, 5.0, 5, 5, 97, 1000
434, 200, 0, 5.0, 5, 5, 97, 990
435, 200, 0, 5.0, 5, 5, 98, 1000
436, 200, 0, 5.0, 5, 5, 98, 1000
437, 200, 0, 5.0, 5, 5, 98, 1000
438, 200, 0, 5.0, 5, 5, 98, 1000
439, 200, 0, 5.0, 5, 5, 98, 1000
440, 200, 0, 5.0, 5, 5, 98, 1010
441, 200, 0, 5.0, 5, 5, 97, 990
442, 200, 0, 5.0, 5, 5, 98, 1000
443, 200, 0, 5.0, 5, 5, 98, 1000
444, 200, 0, 5.0, 5, 5, 98, 1000
445, 200, 0, 5.0, 5, 5, 98, 1000
446, 200, 0, 5.0, 5, 5, 98, 1000
447, 200, 0, 5.0, 5, 5, 98, 1000
448, 200, 0, 5.0, 5, 5, 98, 1000
449, 200, 0, 5.0, 5, 5, 98, 1010
450, 200, 0, 5.0, 5, 5, 97, 990
451, 200, 0, 5.0, 5, 5, 98, 1000
452, 200, 0, 5.0, 5, 5, 98, 1000
453, 200, 0, 5.0, 5, 5, 98, 1000
454, 200, 0, 5.0, 5, 5, 98, 1010
455, 200, 0, 5.0, 5, 5, 97, 990
456, 200, 0, 5.0, 5, 5, 98, 1000
457, 200, 0, 5.0, 5, 5, 98, 1000
458, 200, 0, 5.0, 5, 5, 98, 1000
459, 200, 0, 5.0, 5, 5, 98, 1010
460, 200, 0, 5.0, 5, 5, 97, 990
461, 200, 0, 5.0, 5, 5, 98, 1000
462, 200, 0, 5.0, 5, 5, 98, 1000
463, 200, 0, 5.0, 5, 5, 98, 1000
464, 200, 0, 5.0, 5, 5, 98, 1000
465, 200, 0, 5.0, 5, 5, 98, 1000
466, 200, 0, 5.0, 5, 5, 98, 1010
467, 200, 0, 5.0, 5, 5, 97, 990
468, 200, 0, 5.0, 5, 5, 98, 1000
469, 200, 0, 5.0, 5, 5, 98, 1000
470, 200, 0, 5.0, 5, 5, 98, 1010
471, 200, 0, 5.0, 5, 5, 97, 1000
472, 200, 0, 5.0, 5, 5, 97, 990
473, 200, 0, 5.0, 5, 5, 98, 1000
474, 200, 0, 5.0, 5, 5, 98, 1000
475, 200, 0, 5.0, 5, 5, 98, 1000
476, 200, 0, 5.0, 5, 5, 98, 1000
477, 200, 0, 5.0, 5, 5, 98, 1010
478, 200, 0, 5.0, 5, 5, 97, 990
479, 200, 0, 5.0, 5, 5, 98, 1000
480, 200, 0, 5.0, 5, 5, 98, 1000
481, 200, 0, 5.0, 5, 5, 98, 1010
482, 200, 0, 5.0, 5, 5, 97, 990
